sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1554972523179,-0.6915257,-0.28953153,9.956534
GYROSCOPE,1554972523182,8.26,36.54,-17.710001
ACCELEROMETER,1554972523185,-0.6915257,-0.28953153,9.956534
GYROSCOPE,1554972523188,9.66,36.68,-17.01
ACCELEROMETER,1554972523189,-0.75613195,-0.23928225,9.980463
GYROSCOPE,1554972523192,11.06,36.68,-16.38
ACCELEROMETER,1554972523195,-0.75613195,-0.23928225,9.980463
GYROSCOPE,1554972523198,11.83,36.75,-15.82
ACCELEROMETER,1554972523200,-0.84227353,-0.18185453,9.970891
GYROSCOPE,1554972523202,11.9,36.82,-15.26
ACCELEROMETER,1554972523205,-0.84227353,-0.18185453,9.970891
GYROSCOPE,1554972523208,11.55,37.03,-14.77
ACCELEROMETER,1554972523209,-0.8685946,-0.059820563,9.999605
GYROSCOPE,1554972523212,10.92,36.96,-14.49
ACCELEROMETER,1554972523214,-0.8685946,-0.059820563,9.999605
GYROSCOPE,1554972523217,10.29,37.1,-14.56
ACCELEROMETER,1554972523219,-0.9595219,0.08374879,9.973285
GYROSCOPE,1554972523222,9.45,37.1,-14.63
ACCELEROMETER,1554972523224,-0.9595219,0.08374879,9.973285
GYROSCOPE,1554972523228,8.75,37.03,-14.7
ACCELEROMETER,1554972523230,-1.0695916,0.13639088,9.908678
GYROSCOPE,1554972523233,7.84,36.89,-14.42
ACCELEROMETER,1554972523234,-1.0695916,0.13639088,9.908678
GYROSCOPE,1554972523237,6.65,36.68,-14.21
ACCELEROMETER,1554972523239,-1.1557333,0.19381863,9.848858
GYROSCOPE,1554972523243,5.6,36.4,-13.93
ACCELEROMETER,1554972523245,-1.1557333,0.19381863,9.848858
GYROSCOPE,1554972523248,4.83,36.26,-13.79
ACCELEROMETER,1554972523250,-1.2346964,0.2847459,9.65504
GYROSCOPE,1554972523252,4.55,35.91,-13.79
ACCELEROMETER,1554972523254,-1.2346964,0.2847459,9.65504
GYROSCOPE,1554972523257,4.48,35.63,-13.65
ACCELEROMETER,1554972523260,-1.2753744,0.25842485,9.51147
GYROSCOPE,1554972523263,4.62,35.49,-13.16
ACCELEROMETER,1554972523265,-1.2753744,0.25842485,9.51147
GYROSCOPE,1554972523268,5.11,35.56,-12.53
ACCELEROMETER,1554972523269,-1.3495519,0.18424734,9.375079
GYROSCOPE,1554972523272,5.95,35.77,-11.76
ACCELEROMETER,1554972523274,-1.3495519,0.18424734,9.375079
GYROSCOPE,1554972523278,7.07,36.05,-11.2
ACCELEROMETER,1554972523280,-1.3686945,0.17228325,9.403792
GYROSCOPE,1554972523283,8.47,36.26,-10.78
ACCELEROMETER,1554972523284,-1.3686945,0.17228325,9.403792
GYROSCOPE,1554972523288,10.08,36.68,-10.5
ACCELEROMETER,1554972523290,-1.4356936,0.24406792,9.468399
GYROSCOPE,1554972523292,12.25,37.52,-9.66
ACCELEROMETER,1554972523294,-1.5409778,0.28953153,9.521042
GYROSCOPE,1554972523297,12.67,37.94,-9.1
ACCELEROMETER,1554972523300,-1.5409778,0.28953153,9.521042
GYROSCOPE,1554972523303,12.67,37.94,-9.1
ACCELEROMETER,1554972523305,-1.5409778,0.28953153,9.540184
GYROSCOPE,1554972523307,12.6,38.43,-8.75
ACCELEROMETER,1554972523309,-1.536192,0.44506496,9.540184
GYROSCOPE,1554972523313,12.11,38.85,-8.68
ACCELEROMETER,1554972523315,-1.634298,0.5551349,9.590433
GYROSCOPE,1554972523318,11.4800005,39.34,-8.68
ACCELEROMETER,1554972523320,-1.634298,0.5551349,9.590433
GYROSCOPE,1554972523323,9.59,39.69,-8.68
ACCELEROMETER,1554972523324,-1.7491533,0.59581286,9.573684
GYROSCOPE,1554972523327,8.54,40.25,-8.47
ACCELEROMETER,1554972523330,-1.7491533,0.59581286,9.573684
GYROSCOPE,1554972523333,7.63,40.46,-8.12
ACCELEROMETER,1554972523335,-1.8592231,0.57906306,9.516255
GYROSCOPE,1554972523338,6.7200003,40.46,-7.91
ACCELEROMETER,1554972523339,-1.8592231,0.57906306,9.516255
GYROSCOPE,1554972523342,5.88,40.53,-7.91
ACCELEROMETER,1554972523345,-1.9645073,0.52163535,9.420543
GYROSCOPE,1554972523348,5.32,40.32,-7.91
ACCELEROMETER,1554972523350,-1.9645073,0.52163535,9.420543
GYROSCOPE,1554972523352,4.97,40.25,-8.05
ACCELEROMETER,1554972523354,-2.0961125,0.5551349,9.3200445
GYROSCOPE,1554972523358,4.69,39.97,-8.12
ACCELEROMETER,1554972523360,-2.0961125,0.5551349,9.3200445
GYROSCOPE,1554972523363,4.41,39.55,-8.19
ACCELEROMETER,1554972523365,-2.1511476,0.5910272,9.205189
GYROSCOPE,1554972523368,4.41,39.13,-8.12
ACCELEROMETER,1554972523370,-2.1511476,0.5910272,9.205189
GYROSCOPE,1554972523373,4.41,38.5,-8.12
ACCELEROMETER,1554972523375,-2.3042881,0.6652047,9.107083
GYROSCOPE,1554972523377,3.99,37.8,-8.05
ACCELEROMETER,1554972523379,-2.3042881,0.6652047,9.107083
GYROSCOPE,1554972523383,3.22,37.03,-7.98
ACCELEROMETER,1554972523385,-2.3904297,0.6915257,9.092726
GYROSCOPE,1554972523388,2.45,36.19,-8.05
ACCELEROMETER,1554972523390,-2.3904297,0.6915257,9.092726
GYROSCOPE,1554972523393,1.82,35.420002,-8.33
ACCELEROMETER,1554972523395,-2.4215364,0.6867401,8.9683
GYROSCOPE,1554972523398,1.12,34.72,-8.61
ACCELEROMETER,1554972523399,-2.4215364,0.6867401,8.9683
GYROSCOPE,1554972523403,0.7,33.95,-8.82
ACCELEROMETER,1554972523405,-2.545963,0.5814559,8.88455
GYROSCOPE,1554972523408,0.63,33.18,-8.96
ACCELEROMETER,1554972523409,-2.545963,0.5814559,8.88455
GYROSCOPE,1554972523413,0.98,32.2,-8.68
ACCELEROMETER,1554972523414,-2.6033912,0.49531427,8.834301
GYROSCOPE,1554972523417,1.61,31.15,-8.19
ACCELEROMETER,1554972523419,-2.6033912,0.49531427,8.834301
GYROSCOPE,1554972523423,2.45,30.1,-7.4900002
ACCELEROMETER,1554972523425,-2.6416762,0.4115655,8.903693
GYROSCOPE,1554972523427,3.3600001,28.91,-6.79
ACCELEROMETER,1554972523429,-2.6416762,0.4115655,8.903693
GYROSCOPE,1554972523433,4.13,27.79,-6.3
ACCELEROMETER,1554972523435,-2.7110682,0.40677986,8.944371
GYROSCOPE,1554972523437,4.76,26.67,-6.16
ACCELEROMETER,1554972523439,-2.7110682,0.40677986,8.944371
GYROSCOPE,1554972523443,5.39,25.62,-5.95
ACCELEROMETER,1554972523445,-2.7278178,0.48095733,8.927622
GYROSCOPE,1554972523448,5.81,24.57,-5.88
ACCELEROMETER,1554972523450,-2.7278178,0.48095733,8.927622
GYROSCOPE,1554972523453,6.02,23.52,-5.67
ACCELEROMETER,1554972523455,-2.7924242,0.49531427,8.867801
GYROSCOPE,1554972523458,6.02,22.4,-5.46
ACCELEROMETER,1554972523460,-2.7924242,0.49531427,8.867801
GYROSCOPE,1554972523462,5.88,21.35,-5.25
ACCELEROMETER,1554972523464,-2.7661028,0.5168497,8.848659
GYROSCOPE,1554972523468,5.95,20.44,-4.9
ACCELEROMETER,1554972523470,-2.7661028,0.5168497,8.848659
GYROSCOPE,1554972523473,6.02,19.6,-4.55
ACCELEROMETER,1554972523475,-2.8163521,0.4235296,8.817552
GYROSCOPE,1554972523477,6.16,18.83,-4.2
ACCELEROMETER,1554972523479,-2.8163521,0.4235296,8.817552
GYROSCOPE,1554972523482,6.37,18.06,-3.71
ACCELEROMETER,1554972523484,-2.8498516,0.3589234,8.781659
GYROSCOPE,1554972523487,6.79,17.36,-3.15
ACCELEROMETER,1554972523489,-2.8498516,0.3589234,8.843873
GYROSCOPE,1554972523492,7.63,16.73,-2.8
ACCELEROMETER,1554972523494,-2.8402805,0.3254239,8.843873
GYROSCOPE,1554972523498,8.47,15.96,-2.31
ACCELEROMETER,1554972523500,-2.9048867,0.30388847,8.819944
GYROSCOPE,1554972523502,9.31,15.26,-1.89
ACCELEROMETER,1554972523504,-2.9048867,0.30388847,8.819944
