sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1555396999668,4.34,-0.21000001,-1.47
ACCELEROMETER,1555396999678,-0.3445665,2.8187451,9.609575
GYROSCOPE,1555396999673,3.64,0.07,-1.54
ACCELEROMETER,1555396999683,-0.31345975,2.7469604,9.611969
GYROSCOPE,1555396999678,3.08,0.42000002,-1.54
ACCELEROMETER,1555396999688,-0.31345975,2.7469604,9.611969
GYROSCOPE,1555396999683,2.73,0.63,-1.75
ACCELEROMETER,1555396999693,-0.31585258,2.658426,9.609575
GYROSCOPE,1555396999688,2.31,0.91,-2.1
ACCELEROMETER,1555396999698,-0.31585258,2.658426,9.609575
GYROSCOPE,1555396999692,2.1,1.19,-2.52
ACCELEROMETER,1555396999702,-0.35653055,2.5004995,9.60479
GYROSCOPE,1555396999697,2.03,1.4,-2.94
ACCELEROMETER,1555396999708,-0.35653055,2.5004995,9.60479
GYROSCOPE,1555396999703,2.24,1.6800001,-3.29
ACCELEROMETER,1555396999713,-0.3445665,2.4909284,9.573684
GYROSCOPE,1555396999707,2.59,1.96,-3.64
ACCELEROMETER,1555396999718,-0.3445665,2.4909284,9.573684
GYROSCOPE,1555396999713,2.8700001,2.31,-3.92
ACCELEROMETER,1555396999723,-0.34935212,2.4933212,9.647861
GYROSCOPE,1555396999718,3.01,2.52,-3.99
ACCELEROMETER,1555396999728,-0.34935212,2.4933212,9.647861
GYROSCOPE,1555396999722,2.94,2.8700001,-3.92
ACCELEROMETER,1555396999732,-0.33738798,2.5818558,9.602397
GYROSCOPE,1555396999728,2.73,3.15,-3.78
ACCELEROMETER,1555396999738,-0.33738798,2.5818558,9.602397
GYROSCOPE,1555396999733,2.45,3.43,-3.64
ACCELEROMETER,1555396999743,-0.404387,2.5292134,9.626326
GYROSCOPE,1555396999738,2.31,3.71,-3.57
ACCELEROMETER,1555396999748,-0.404387,2.5292134,9.626326
GYROSCOPE,1555396999743,2.17,3.85,-3.29
ACCELEROMETER,1555396999753,-0.41874397,2.4765716,9.568897
GYROSCOPE,1555396999748,1.96,3.78,-3.01
ACCELEROMETER,1555396999758,-0.41874397,2.4765716,9.568897
GYROSCOPE,1555396999753,1.75,3.85,-2.73
ACCELEROMETER,1555396999763,-0.46181473,2.5411777,9.559326
GYROSCOPE,1555396999758,1.54,3.78,-2.52
ACCELEROMETER,1555396999768,-0.46181473,2.5411777,9.559326
GYROSCOPE,1555396999763,1.33,3.78,-2.24
ACCELEROMETER,1555396999773,-0.46660042,2.5579274,9.578469
GYROSCOPE,1555396999767,1.12,3.57,-1.82
ACCELEROMETER,1555396999777,-0.46660042,2.5579274,9.578469
GYROSCOPE,1555396999772,1.05,3.57,-1.47
ACCELEROMETER,1555396999782,-0.49292147,2.4933212,9.662218
GYROSCOPE,1555396999777,1.19,3.57,-1.05
ACCELEROMETER,1555396999787,-0.49292147,2.4933212,9.662218
GYROSCOPE,1555396999783,1.47,3.5,-0.7
ACCELEROMETER,1555396999793,-0.5240281,2.5339992,9.619147
GYROSCOPE,1555396999787,1.96,3.43,-0.21000001
ACCELEROMETER,1555396999797,-0.5240281,2.5339992,9.619147
GYROSCOPE,1555396999792,2.52,3.3600001,0.28
ACCELEROMETER,1555396999803,-0.5503492,2.6033912,9.628718
GYROSCOPE,1555396999799,3.01,3.22,0.63
ACCELEROMETER,1555396999808,-0.5503492,2.6033912,9.628718
GYROSCOPE,1555396999803,3.3600001,3.08,0.91
