sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1554972579727,2.4957142,-2.3856442,9.178867
GYROSCOPE,1554972579730,-14.28,-20.65,0.63
ACCELEROMETER,1554972579732,2.4957142,-2.3856442,9.178867
GYROSCOPE,1554972579735,-14.63,-21.210001,0.56
ACCELEROMETER,1554972579737,2.4646072,-2.440679,9.293723
GYROSCOPE,1554972579740,-14.7,-21.91,0.21000001
ACCELEROMETER,1554972579742,2.4646072,-2.440679,9.293723
GYROSCOPE,1554972579745,-14.42,-22.82,-0.14
ACCELEROMETER,1554972579747,2.4526434,-2.5746772,9.504292
GYROSCOPE,1554972579751,-13.58,-23.87,-0.42000002
ACCELEROMETER,1554972579753,2.4502504,-2.6321046,9.810574
GYROSCOPE,1554972579755,-12.32,-25.41,-0.91
ACCELEROMETER,1554972579757,2.4502504,-2.6321046,9.810574
GYROSCOPE,1554972579760,-10.92,-27.37,-1.61
ACCELEROMETER,1554972579762,2.4502504,-2.6321046,9.810574
GYROSCOPE,1554972579765,-9.8,-29.54,-2.31
ACCELEROMETER,1554972579768,2.5292134,-2.617748,10.202995
GYROSCOPE,1554972579770,-8.75,-32.27,-2.94
ACCELEROMETER,1554972579772,2.5986054,-2.4119651,10.9017
GYROSCOPE,1554972579775,-7.28,-35.07,-3.57
ACCELEROMETER,1554972579778,2.5986054,-2.4119651,10.9017
GYROSCOPE,1554972579781,-5.67,-37.87,-5.53
ACCELEROMETER,1554972579782,2.6871397,-2.3353949,11.734402
GYROSCOPE,1554972579785,-2.31,-43.68,-6.51
ACCELEROMETER,1554972579788,2.6871397,-2.3353949,11.734402
GYROSCOPE,1554972579791,-0.21000001,-47.04,-7.91
ACCELEROMETER,1554972579792,2.8809586,-2.4047868,12.859028
GYROSCOPE,1554972579795,2.52,-50.68,-9.66
ACCELEROMETER,1554972579797,2.8809586,-2.4047868,12.859028
GYROSCOPE,1554972579800,6.51,-54.81,-11.62
ACCELEROMETER,1554972579802,3.1202407,-2.5579274,14.230117
GYROSCOPE,1554972579806,11.55,-59.15,-13.58
ACCELEROMETER,1554972579808,3.1202407,-2.5579274,14.230117
GYROSCOPE,1554972579810,17.43,-63.49,-15.68
ACCELEROMETER,1554972579813,3.5533416,-3.012564,15.414563
